Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},2420,0,9,9.858890082648955,1.8946999989566393,40.1930000007269,43.20537190082645,9.958516849732579,0.0,9,10,13,14,18,20,24,26,34,40,40
GET,GET /api/recurso-lento,3196,0,9,9.44085231539975,1.722900000459049,47.21079999944777,44.0,13.15182638501873,0.0,9,10,12,14,17,20,23,25,31,47,47
GET,GET /api/status,1649,0,9,9.681406064295965,1.5799000011611497,68.79240000125719,31.0,6.785782762483067,0.0,9,10,12,14,18,21,24,27,36,69,69
POST,POST /api/recurso,772,3,9,9.947035492261863,2.112799998940318,70.08150000001478,31.976683937823836,3.176849176856839,0.012345268821982537,9,10,12,14,17,21,24,26,70,70,70
,Aggregated,8037,3,9,9.664704242886435,1.5799000011611497,70.08150000001478,39.938534278959814,33.07297517409121,0.012345268821982537,9,10,12,14,17,20,24,26,33,70,70
