Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},2327,0,9,9.261595358845668,1.8686000003071968,106.75020000053337,43.203695745595184,9.899870467094988,0.0,9,9,11,13,17,20,25,29,56,110,110
GET,GET /api/recurso-lento,3084,0,8,9.076603761334086,1.5816000013728626,151.32830000038666,44.0,13.120412772033065,0.0,8,9,11,12,17,20,24,27,62,150,150
GET,GET /api/status,1541,0,8,8.941727903962922,1.8013999997492647,37.68990000025951,31.0,6.555952036868662,0.0,8,9,11,13,17,20,24,27,37,38,38
POST,POST /api/recurso,771,2,9,9.539627756131631,2.1775000004709,69.37069999912637,31.98443579766537,3.2801031930082662,0.008508698295741288,9,10,11,13,17,20,23,27,69,69,69
,Aggregated,7723,2,8,9.151655328236766,1.5816000013728626,151.32830000038666,39.96659329276188,32.85633846900498,0.008508698295741288,8,9,11,13,17,20,24,27,61,150,150
