Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},1928,0,290,355.81172572612604,1.81700000030105,1610.8487999999852,43.24688796680498,7.89744748810773,0.0,290,430,520,590,770,960,1100,1200,1600,1600,1600
GET,GET /api/recurso-lento,2590,0,400,459.52897459459183,72.89380000020174,1681.9703000001027,44.0,10.609122922302397,0.0,400,520,620,670,880,1100,1300,1400,1600,1700,1700
GET,GET /api/status,1287,0,270,329.90374265734926,1.8629999995027902,1375.3360999999131,31.0,5.271791969499299,0.0,270,410,490,550,690,840,1100,1200,1400,1400,1400
POST,POST /api/recurso,639,2,270,341.3002064162654,1.997000000301341,1484.3980000005104,31.981220657276996,2.617463145695456,0.008192372912974824,270,420,510,550,720,900,1200,1300,1500,1500,1500
,Aggregated,6444,2,330,390.88485414338396,1.81700000030105,1681.9703000001027,39.9864990689013,26.39582552560488,0.008192372912974824,330,470,550,620,800,980,1200,1300,1600,1700,1700
