Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},2435,0,9,9.50138291583436,1.642000001083943,52.43759999939357,43.23490759753594,9.913644617487618,0.0,9,10,12,14,17,21,24,27,42,52,52
GET,GET /api/recurso-lento,3285,0,8,9.114378203956933,1.5892999999778112,55.272100000365754,44.0,13.374259781703008,0.0,8,9,11,13,17,20,24,26,36,55,55
GET,GET /api/status,1625,0,8,9.324748307708292,1.5800999990460696,40.62590000103228,31.0,6.6158819315882464,0.0,8,9,12,14,17,20,23,26,33,41,41
POST,POST /api/recurso,776,2,9,9.822935051523618,1.8958000000566244,37.082400000144844,31.984536082474225,3.1593380793307566,0.00814262391580092,9,10,12,14,18,21,24,28,37,37,37
,Aggregated,8121,2,9,9.34021837212948,1.5800999990460696,55.272100000365754,40.02117965767763,33.06312441010963,0.00814262391580092,9,10,12,13,17,20,24,27,37,55,55
