Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},1881,0,200,404.8381205209941,1.8237000003864523,4140.485199999603,43.219564061669324,7.623830028315987,0.0,200,360,480,580,1000,1700,2100,2600,4000,4100,4100
GET,GET /api/recurso-lento,2551,0,290,478.7721115640879,58.085700000447105,4137.777699999788,44.0,10.339388836913388,0.0,290,440,570,670,1100,1700,2200,2500,4000,4100,4100
GET,GET /api/status,1222,0,220,386.49310548282256,1.8936999995275983,4136.16600000023,31.0,4.952855021053767,0.0,220,370,500,600,980,1500,2000,2300,3100,4100,4100
POST,POST /api/recurso,695,0,210,388.8322633093488,2.224500000011176,3952.4839999994583,32.0,2.8168856298137217,0.0,210,350,470,550,930,1500,2300,2700,4000,4000,4000
,Aggregated,6349,0,250,429.26148357221484,1.8237000003864523,4140.485199999603,39.953063474562924,25.732959516096862,0.0,250,400,520,610,1000,1600,2100,2500,4000,4100,4100
