Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},1882,0,310,427.2325670031831,1.893499999823689,3743.1984000004377,43.23379383634431,7.6129797587759995,0.0,310,490,590,670,930,1200,1700,2400,3700,3700,3700
GET,GET /api/recurso-lento,2499,0,450,555.4924240496126,62.969600000542414,3884.5516000001226,44.0,10.108839754081416,0.0,450,590,700,800,1100,1400,2000,2600,3900,3900,3900
GET,GET /api/status,1206,0,330,446.13874593697574,1.593999999386142,3800.1955999998245,31.0,4.878455679640731,0.0,330,490,610,690,930,1200,1700,2500,3800,3800,3800
POST,POST /api/recurso,608,1,360,476.5832832236982,1.7627000006541493,3690.1952999996865,31.99013157894737,2.4594536096364545,0.004045153963217853,370,540,630,720,1000,1400,1700,2300,3700,3700,3700
,Aggregated,6195,1,380,487.4952740274357,1.593999999386142,3884.5516000001226,40.05778853914447,25.0597288021346,0.004045153963217853,380,540,650,730,1000,1300,1800,2500,3800,3900,3900
