Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},2354,0,6,8.038021367872348,1.9078999994235346,138.42169999952603,43.24044180118946,9.923232200823572,0.0,6,7,9,10,14,19,29,42,140,140,140
GET,GET /api/recurso-lento,3104,0,6,7.947783440710699,1.810499999919557,172.25479999979143,44.0,13.084839741442806,0.0,6,7,9,10,15,19,29,44,110,170,170
GET,GET /api/status,1598,0,5,7.739396182718524,1.9368000002941699,116.75430000013876,31.0,6.736331799879383,0.0,5,7,9,9,14,19,27,46,100,120,120
POST,POST /api/recurso,790,0,6,8.661956075936555,1.9079000003330293,175.15670000011596,32.0,3.330226609452261,0.0,6,8,9,10,15,19,32,64,180,180,180
,Aggregated,7846,0,6,8.004323540646393,1.810499999919557,175.15670000011596,39.91613561050217,33.074630351598024,0.0,6,7,9,10,14,19,29,45,120,180,180
