Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},2039,0,140,209.36327797940427,1.643300000068848,4089.564799999607,43.25747915644924,8.670146862871341,0.0,140,210,270,310,450,630,870,1100,3300,4100,4100
GET,GET /api/recurso-lento,2736,0,210,291.8906991228056,53.83940000047005,4141.5681999997105,44.0,11.633899861116229,0.0,210,290,340,380,530,710,1000,1500,4100,4100,4100
GET,GET /api/status,1304,0,140,210.47686165645592,1.8990999997186009,3656.6461000002164,31.0,5.54481192211095,0.0,140,210,270,310,460,630,920,1300,3200,3700,3700
POST,POST /api/recurso,639,0,140,214.63247636933932,1.9965999999840278,3674.825199999759,32.0,2.717127928089645,0.0,140,220,270,310,470,630,850,1100,3700,3700,3700
,Aggregated,6718,0,170,243.6910771955982,1.643300000068848,4141.5681999997105,40.10985412325097,28.565986574188166,0.0,170,250,300,340,490,670,950,1300,4100,4100,4100
