Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/recurso-detalhe/{id},2419,0,9,9.710412649855634,1.8885999998019543,51.89119999886316,43.236047953699874,10.066089638404856,0.0,9,10,12,14,18,20,24,26,35,52,52
GET,GET /api/recurso-lento,3098,0,8,9.084834635278558,1.6802999998617452,47.800399999687215,44.0,12.891585655137762,0.0,8,9,11,13,17,20,23,26,36,48,48
GET,GET /api/status,1644,0,8,9.348848296840316,1.963300001079915,37.90870000011637,31.0,6.841112594269361,0.0,8,10,12,14,17,20,24,27,33,38,38
POST,POST /api/recurso,791,1,9,10.081979772438888,1.7577999988134252,48.102599999765516,31.992414664981037,3.2915572153692607,0.004161260702110317,9,10,13,15,18,21,26,28,48,48,48
,Aggregated,7952,1,9,9.428905746994264,1.6802999998617452,51.89119999886316,39.88556338028169,33.09034510318124,0.004161260702110317,9,10,12,14,17,20,24,26,36,52,52
